asset_id,name_clean,category_major,category_minor,artifact_nature,type,subtype,description,image_uri,size_class,placement,is_independent,need_combination,landmark_type,landmark_detail,poly_count,collision_x,collision_y,collision_z,caption_basic,caption_visual,caption_scene,labels_json,env_flags,missing_flags,scene_limit
00001,书架01,静态模型,家具家居,人工造物,家具,,资产名:书架01；主分类:静态模型；子分类:家具家居；类型:家具；造物性质:人工造物；尺寸等级:中尺寸物体,images/00001.png,中尺寸物体,,,,,,388,96.43,281.77,262.83,该资产完整名称为书架01，属于人工造物。在资产分类上，它被归类为静态模型下属的家具家居类。从尺寸规格来看，该资产被定义为中尺寸物体。,该书架呈现Q版卡通的风格化视觉特征。主体外框为浅木色，内壁为深棕色，表面呈哑光质感。结构上分为四层，边缘均经过圆角处理，底部带有四个浅蓝色的圆柱形支脚。书架内部摆放着蓝、白、黄等颜色的书籍，部分书籍呈倾斜或平放状态，整体造型圆润。,该资产适用于室内居家场景，通常靠墙落地摆放于人工地板上。在游戏中，常配置于儿童房、温馨书房或童话世界的小型图书馆等场景。作为功能家具，它主要用于收纳展示书籍，营造休闲生活的治愈系氛围，在特定关卡中也可作为场景阻挡物使用。,"[""Q版卡通"", ""卡通渲染"", ""风格化"", ""治愈系"", ""室内居家"", ""书房"", ""卧室"", ""儿童房"", ""图书馆"", ""休闲生活"", ""温馨日常"", ""现代都市"", ""童话世界"", ""功能家具"", ""收纳"", ""氛围装饰"", ""场景阻挡""]","{""草地"": false, ""沙地"": false, ""泥地"": false, ""雪地"": false, ""火山"": false, ""水面"": false, ""水边"": false, ""海底（水底）"": false, ""人工地板"": false, ""水泥地面"": false}",[],[]
00002,书桌01,静态模型,家具家居,人工造物,家具,,资产名:书桌01；主分类:静态模型；子分类:家具家居；类型:家具；造物性质:人工造物；尺寸等级:中尺寸物体,images/00002.png,中尺寸物体,,,,,,96,114.33,184.22,80.47,该资产名为“书桌01”，属于人工造物。在分类上，它被归类为静态模型下的家具家居类别，其尺寸规格被定义为中尺寸物体。,这款书桌呈现极简主义的Q版卡通风格，整体采用浅棕色的原木色调。表面为纯色渲染的哑光材质，无复杂纹理。结构上，它拥有长方形平坦桌面，边缘经过圆润化处理。底部由四条粗壮圆润的桌腿支撑，左右两侧桌腿间各有一块横向木板作为加固，整体造型简单敦实。,该书桌适用于室内居家场景，通常落地摆放于人工地板上。在休闲模拟或日系二次元游戏中，常布置在日式卧室、田园木屋或卡通教室等场景。作为功能家具，它主要用于物品摆放与场景填充，也可作为空间阻挡物，有效营造出轻松的现代生活与田园牧歌氛围。,"[""Q版卡通"", ""休闲风"", ""极简主义"", ""纯色渲染"", ""室内居家"", ""书房"", ""卧室"", ""木屋"", ""学校教室"", ""休闲模拟"", ""现代生活"", ""田园牧歌"", ""日系二次元"", ""功能家具"", ""物品摆放"", ""场景填充"", ""环境交互"", ""阻挡""]","{""草地"": false, ""沙地"": false, ""泥地"": false, ""雪地"": false, ""火山"": false, ""水面"": false, ""水边"": false, ""海底（水底）"": false, ""人工地板"": false, ""水泥地面"": false}",[],[]
00003,书桌02,静态模型,家具家居,人工造物,家具,,资产名:书桌02；主分类:静态模型；子分类:家具家居；类型:家具；造物性质:人工造物；尺寸等级:中尺寸物体,images/00003.png,中尺寸物体,,,,,,124,104.68,126.24,91.72,该资产名称为书桌02，属于人工造物。在分类上归属于静态模型下的家具家居类别，其尺寸规格被定义为中尺寸物体。,该资产整体呈现浅原木色调，材质表现为平滑的木质表面，带有手绘贴图质感与哑光状态。视觉上属于Q版卡通与极简风格。结构上，由一块边缘圆润的长方形厚实桌面和四根粗壮的圆柱形桌腿组成，桌面下方带有简单的横向支撑结构，整体造型敦实且无多余装饰。,该资产适用于室内场景，通常落地摆放于木地板或地毯上。作为功能家具，它常配置于童话小镇的儿童房、日系二次元的学校教室或休闲店铺等游戏场景。该书桌主要用于承载物品，其休闲可爱的造型能营造温馨氛围，也可在关卡中作为路径的场景阻挡物。,"[""Q版卡通"", ""休闲可爱"", ""手绘贴图"", ""极简风格"", ""室内居家"", ""儿童房"", ""学校教室"", ""休闲店铺"", ""休闲模拟"", ""童话小镇"", ""现代生活"", ""日系二次元"", ""功能家具"", ""物品承载"", ""氛围装饰"", ""场景阻挡""]","{""草地"": false, ""沙地"": false, ""泥地"": false, ""雪地"": false, ""火山"": false, ""水面"": false, ""水边"": false, ""海底（水底）"": false, ""人工地板"": false, ""水泥地面"": false}",[],[]
00004,书桌03,静态模型,家具家居,人工造物,家具,,资产名:书桌03；主分类:静态模型；子分类:家具家居；类型:家具；造物性质:人工造物；尺寸等级:中尺寸物体,images/00004.png,中尺寸物体,,,,,,124,104.68,178.96,86.93,该资产为书桌03，属于人工造物。在分类上归为静态模型下属的家具家居类别，其尺寸规格被定义为中尺寸物体。,该资产呈现极简的Q版卡通风格。整体采用红棕色的光滑木质材质，表面有轻微高光。结构由长方形平坦桌面和四根粗短的圆柱形桌腿组成。桌面边缘经过圆润倒角处理，无尖锐棱角。整体造型简单，无雕花或抽屉等装饰，呈现休闲手绘的视觉质感。,该资产适用于室内或户外庭院，常落地摆放于人工地板或草地上。作为功能家具，它可用于物品摆放或作为场景搭建的阻挡物。在休闲模拟或农场经营游戏中，适合放置在温馨卧室、安静书房或童话村落木屋中，其Q版卡通风格能有效营造轻松休闲的现代居家氛围。,"[""Q版卡通"", ""休闲手绘"", ""极简风格"", ""风格化"", ""室内居家"", ""书房"", ""卧室"", ""教室"", ""户外庭院"", ""休闲模拟"", ""现代居家"", ""农场经营"", ""童话村落"", ""功能家具"", ""物品摆放"", ""场景搭建"", ""阻挡""]","{""草地"": false, ""沙地"": false, ""泥地"": false, ""雪地"": false, ""火山"": false, ""水面"": false, ""水边"": false, ""海底（水底）"": false, ""人工地板"": false, ""水泥地面"": false}",[],[]
00005,书桌04,静态模型,家具家居,人工造物,家具,,资产名:书桌04；主分类:静态模型；子分类:家具家居；类型:家具；造物性质:人工造物；尺寸等级:小尺寸物体,images/00005.png,小尺寸物体,,,,,,516,59.23,112.63,60.33,该资产完整名称为书桌04，属于人工造物。在分类上，它归属于静态模型下属的家具家居类别。其尺寸规格被定义为小尺寸物体。,该资产呈现Q版卡通与极简主义的平涂风格。整体以浅蓝色为主，顶部桌面边缘环绕白色。材质表现为光滑的哑光塑料质感，表面无纹理。结构上采用简单的长方体造型，顶部桌面略微向外突出，边角均进行了圆润的倒角处理，无桌腿或抽屉等复杂结构，造型简练。,该资产适用于室内场景，通常落地摆放于人工地板上。作为功能家具，它提供平台承载作用，也可用于场景填充或作为阻挡物。在日系二次元或现代都市主题中，常配置于学校教室或办公室。其极简风格也能融入轻科幻的医务室等医疗场景，营造轻松的休闲日常氛围。,"[""Q版卡通"", ""极简主义"", ""休闲风"", ""平涂风格"", ""室内居家"", ""办公室"", ""学校教室"", ""医疗场景"", ""休闲日常"", ""现代都市"", ""日系二次元"", ""轻科幻"", ""功能家具"", ""平台承载"", ""场景填充"", ""阻挡""]","{""草地"": false, ""沙地"": false, ""泥地"": false, ""雪地"": false, ""火山"": false, ""水面"": false, ""水边"": false, ""海底（水底）"": false, ""人工地板"": false, ""水泥地面"": false}",[],[]
00007,冰箱01,静态模型,家具家居,人工造物,家具,,资产名:冰箱01；主分类:静态模型；子分类:家具家居；类型:家具；造物性质:人工造物；尺寸等级:小尺寸物体,images/00007.png,小尺寸物体,,,,,,252,64.43,64.49,109.62,该资产完整名称为冰箱01，属于人工造物。在资产分类上归为静态模型下属的家具家居类别，其尺寸规格被定义为小尺寸物体。,该资产呈现极简的Q版卡通风格，整体造型圆润无锐利棱角。主体采用浅蓝色调，表面为光滑的塑料材质质感，带有明显的卡通高光反射。结构为上下双开门设计，上小下大，门板四周环绕白色粗边框，每扇门左侧均配有一个白色的横向短把手。,该资产适用于现代都市主题的室内场景，常靠墙落地摆放于人工地板上。在模拟经营游戏中，多布置在温馨公寓的厨房或便利店中。作为功能家具，它可用于收纳食物道具供玩家交互，营造休闲治愈的氛围装饰感。此外，在狭小空间内也可作为场景阻挡物使用。,"[""Q版卡通"", ""可爱风"", ""卡通渲染"", ""极简风"", ""厨房"", ""室内居家"", ""公寓宿舍"", ""餐厅"", ""便利店"", ""现代都市"", ""休闲日常"", ""模拟经营"", ""温馨治愈"", ""功能家具"", ""收纳"", ""氛围装饰"", ""交互物件"", ""场景阻挡""]","{""草地"": false, ""沙地"": false, ""泥地"": false, ""雪地"": false, ""火山"": false, ""水面"": false, ""水边"": false, ""海底（水底）"": false, ""人工地板"": false, ""水泥地面"": false}",[],[]
00008,冰箱02,静态模型,家具家居,人工造物,家具,,资产名:冰箱02；主分类:静态模型；子分类:家具家居；类型:家具；造物性质:人工造物；尺寸等级:小尺寸物体,images/00008.png,小尺寸物体,,,,,,314,71.03,92.46,114.02,该资产名称为冰箱02，属于人工造物。在资产分类上，它被归类为静态模型下的家具家居。根据尺寸规格，该资产被定义为小尺寸物体。,该资产呈现Q版卡通的手绘风格。主体颜色为米黄色，边缘带有红棕色的线条包边。材质表现为平滑的手绘涂装，表面带有柔和的绘制高光。结构上为边缘圆润的上下双开门冰箱，上层较小，下层较大，上层门板左侧附带一个白色的把手，整体造型圆润厚实。,该资产适用于室内场景，通常放置在人工地板上，采用靠墙落地摆放。在现代都市或复古怀旧主题的休闲模拟游戏中，它常作为功能家具出现在厨房、复古餐厅或街角便利店中。作为交互物件，它可用于收纳食物道具，同时为场景营造出轻松休闲的居家氛围。,"[""Q版卡通"", ""手绘风格"", ""休闲风"", ""室内居家"", ""厨房"", ""餐厅"", ""便利店"", ""现代都市"", ""复古怀旧"", ""休闲模拟"", ""功能家具"", ""氛围装饰"", ""收纳"", ""交互物件""]","{""草地"": false, ""沙地"": false, ""泥地"": false, ""雪地"": false, ""火山"": false, ""水面"": false, ""水边"": false, ""海底（水底）"": false, ""人工地板"": false, ""水泥地面"": false}",[],[]
00009,凳子01,静态模型,家具家居,人工造物,家具,,资产名:凳子01；主分类:静态模型；子分类:家具家居；类型:家具；造物性质:人工造物；尺寸等级:小尺寸物体,images/00009.png,小尺寸物体,,,,,,268,47.3,86.34,53.76,该资产为名为“凳子01”的人工造物，属于静态模型下的家具家居类别。其尺寸规格为小尺寸物体，是一件基础的家具模型资产。,该资产呈现Q版卡通与极简主义风格。顶部为橙棕色圆角矩形座面，表面带有浅淡木纹理，边缘圆润厚实；中间由一根银灰色圆柱形金属质感支柱连接；底部为横向放置的蓝绿色圆柱体底座，表面平滑呈哑光状态。整体造型高度风格化，无多余装饰细节。,该资产适用于室内外场景，通常落地摆放于人工地板或平整地面上。在卡通世界或模拟经营游戏中，可作为功能家具与交互物件。常用于休闲餐厅的就餐区、商业店铺的休息角或游乐场等候区。它能有效进行场景填充，为现代都市的休闲日常环境营造轻松活泼的氛围。,"[""Q版卡通"", ""休闲卡通"", ""极简主义"", ""风格化"", ""休闲餐厅"", ""商业店铺"", ""室内居家"", ""游乐场"", ""休闲日常"", ""现代都市"", ""卡通世界"", ""模拟经营"", ""功能家具"", ""氛围装饰"", ""场景填充"", ""交互物件""]","{""草地"": false, ""沙地"": false, ""泥地"": false, ""雪地"": false, ""火山"": false, ""水面"": false, ""水边"": false, ""海底（水底）"": false, ""人工地板"": false, ""水泥地面"": false}",[],[]
00010,凳子02,静态模型,家具家居,人工造物,家具,,资产名:凳子02；主分类:静态模型；子分类:家具家居；类型:家具；造物性质:人工造物；尺寸等级:小尺寸物体,images/00010.png,小尺寸物体,,,,,,162,61.38,89.96,48.2,该资产名为凳子02，属于人工造物。在分类上归属于静态模型下的家具家居类别。其尺寸规格为小尺寸物体。,该凳子呈现Q版卡通与手绘风格。凳面为深棕色，表面带有简约的手绘木质纹理，边缘经过圆润处理，无锐角。凳子的底座框架与四条粗短的凳腿均涂有浅蓝色哑光漆面，材质呈现平滑的视觉效果。四条凳腿呈圆柱状且略微向外倾斜，整体结构极简，造型圆润厚实。,该资产适用于室内外场景，通常落地摆放于木地板或草地等平整地面。作为功能家具，它常用于童话世界或卡通幻想主题游戏中，如温馨的儿童房、村庄小镇或庭院花园。在游戏中，它可作为角色的座椅供场景交互，其休闲可爱的造型也能为居家环境提供氛围装饰。,"[""Q版卡通"", ""休闲可爱"", ""手绘风格"", ""极简风格"", ""室内居家"", ""儿童房"", ""庭院花园"", ""村庄小镇"", ""休闲日常"", ""现代居家"", ""童话世界"", ""卡通幻想"", ""功能家具"", ""座椅"", ""氛围装饰"", ""场景交互""]","{""草地"": false, ""沙地"": false, ""泥地"": false, ""雪地"": false, ""火山"": false, ""水面"": false, ""水边"": false, ""海底（水底）"": false, ""人工地板"": false, ""水泥地面"": false}",[],[]
00011,凳子03,静态模型,家具家居,人工造物,家具,,资产名:凳子03；主分类:静态模型；子分类:家具家居；类型:家具；造物性质:人工造物；尺寸等级:小尺寸物体,images/00011.png,小尺寸物体,,,,,,132,68.3,68.3,49.82,该资产为名为“凳子03”的人工造物，在分类上属于静态模型下的家具家居，是一个小尺寸物体。,该凳子呈现Q版卡通与极简风格，整体为浅黄色调。材质表面呈现光滑且微反光的哑光质感。结构上，凳面呈长方形，边缘经过圆润倒角处理，下方由四根粗细均匀的圆柱形凳腿支撑，凳腿底部同样呈圆弧状。整体造型没有任何锐利棱角，凸显圆润的视觉特征。,该凳子适用于室内外场景，常落地摆放于人工木地板或平整草地上。在休闲日常或童话世界主题中，可布置于儿童房、庭院花园或休闲餐厅等场景。作为功能家具，它能提供基础的场景交互，也可作为角色的垫脚物件，同时起到营造温馨氛围的装饰作用。,"[""Q版卡通"", ""休闲卡通"", ""极简风格"", ""圆润造型"", ""室内居家"", ""儿童房"", ""庭院花园"", ""休闲餐厅"", ""休闲日常"", ""卡通世界"", ""童话世界"", ""现代都市"", ""功能家具"", ""氛围装饰"", ""场景交互"", ""垫脚物件""]","{""草地"": false, ""沙地"": false, ""泥地"": false, ""雪地"": false, ""火山"": false, ""水面"": false, ""水边"": false, ""海底（水底）"": false, ""人工地板"": false, ""水泥地面"": false}",[],[]
